Date ,Close 
02-09-2025,139.62
01-09-2025,139.56
29-08-2025,136.62
28-08-2025,138.49
26-08-2025,138.96
25-08-2025,139.96
22-08-2025,139.95
21-08-2025,141.44
20-08-2025,141.44
19-08-2025,142.01
18-08-2025,140.31
14-08-2025,140.13
13-08-2025,142.43
12-08-2025,142.65
11-08-2025,141.41
08-08-2025,139.91
07-08-2025,141.67
06-08-2025,142.27
05-08-2025,141.27
04-08-2025,142.38
01-08-2025,141.03
31-07-2025,145.62
30-07-2025,149.04
29-07-2025,147.94
28-07-2025,147.56
25-07-2025,146.96
24-07-2025,151.22
23-07-2025,152.35
22-07-2025,151.98
21-07-2025,151.07
18-07-2025,150.06
17-07-2025,150.96
16-07-2025,152.04
15-07-2025,151.4
14-07-2025,150.1
11-07-2025,150.65
10-07-2025,152.33
09-07-2025,150.25
08-07-2025,153.82
07-07-2025,153.75
04-07-2025,151.62
03-07-2025,147.87
02-07-2025,147.91
01-07-2025,147.14
30-06-2025,146.96
27-06-2025,147.22
26-06-2025,146.28
25-06-2025,141.98
24-06-2025,142.84
23-06-2025,139.92
20-06-2025,138.65
19-06-2025,138.67
18-06-2025,140.82
17-06-2025,141.68
16-06-2025,141.85
13-06-2025,140.34
12-06-2025,142.99
11-06-2025,145.15
10-06-2025,142.19
09-06-2025,143.32
06-06-2025,140.78
05-06-2025,139.24
04-06-2025,140.67
03-06-2025,141.04
02-06-2025,143.38
30-05-2025,141.97
29-05-2025,143.7
28-05-2025,144.2
27-05-2025,143.41
26-05-2025,143.58
23-05-2025,144.06
22-05-2025,143.29
21-05-2025,143.39
20-05-2025,141.92
19-05-2025,144.69
16-05-2025,144.72
15-05-2025,145
14-05-2025,143.47
13-05-2025,141.69
12-05-2025,142.35
09-05-2025,139.99
08-05-2025,140.99
07-05-2025,144.49
06-05-2025,144.08
05-05-2025,148.56
02-05-2025,143.28
30-04-2025,137.86
29-04-2025,135.78
28-04-2025,136.49
25-04-2025,134.65
24-04-2025,138.39
23-04-2025,137.65
22-04-2025,138.31
21-04-2025,138.68
17-04-2025,134.3
16-04-2025,133.83
15-04-2025,132.87
11-04-2025,131.83
09-04-2025,131.62
08-04-2025,130.98
07-04-2025,128.09
04-04-2025,130.14
03-04-2025,131.06
02-04-2025,131.31
01-04-2025,131.24
28-03-2025,127.7
27-03-2025,130.36
26-03-2025,129.09
25-03-2025,131.03
24-03-2025,133.67
21-03-2025,131.51
20-03-2025,129.21
19-03-2025,127.75
18-03-2025,125.15
17-03-2025,124.11
13-03-2025,125.67
12-03-2025,125.29
11-03-2025,124.82
10-03-2025,121.59
07-03-2025,124.84
06-03-2025,125.84
05-03-2025,122.25
04-03-2025,118.04
03-03-2025,114.56
28-02-2025,113.49
27-02-2025,116.42
25-02-2025,118.65
24-02-2025,120.22
21-02-2025,121.33
20-02-2025,122.79
19-02-2025,119.87
18-02-2025,119
17-02-2025,118.45
14-02-2025,117.25
13-02-2025,120.08
12-02-2025,120.42
11-02-2025,120.47
10-02-2025,123.18
07-02-2025,125.11
06-02-2025,126.02
05-02-2025,126.43
04-02-2025,124.46
03-02-2025,120.96
01-02-2025,125.42
31-01-2025,128.49
30-01-2025,127.12
29-01-2025,123.64
28-01-2025,122.58
27-01-2025,124.17
24-01-2025,128.26
23-01-2025,129.83
22-01-2025,130.52
21-01-2025,131.08
20-01-2025,130.5
17-01-2025,128.07
16-01-2025,127.1
15-01-2025,126.95
14-01-2025,126.63
13-01-2025,121.99
10-01-2025,130.28
09-01-2025,132.2
08-01-2025,134.6
07-01-2025,134.33
06-01-2025,132.88
03-01-2025,138.14
02-01-2025,137.96
01-01-2025,137.04
31-12-2024,136.41
30-12-2024,134.61
27-12-2024,136.25
26-12-2024,137.85
24-12-2024,138.27
23-12-2024,137.78
20-12-2024,137.08
19-12-2024,139.62
18-12-2024,136.71
17-12-2024,140.32
16-12-2024,143.16
13-12-2024,144.24
12-12-2024,141.48
11-12-2024,143.19
10-12-2024,143.54
09-12-2024,142.33
06-12-2024,141.96
05-12-2024,139.44
04-12-2024,139.86
03-12-2024,139.51
02-12-2024,137.65
29-11-2024,138.63
28-11-2024,137.75
27-11-2024,139
26-11-2024,136.96
25-11-2024,136.4
22-11-2024,132.61
21-11-2024,130.71
19-11-2024,133.12
18-11-2024,134.14
14-11-2024,134.76
13-11-2024,135.99
12-11-2024,138.79
11-11-2024,139.43
08-11-2024,140.34
07-11-2024,144.15
06-11-2024,144.61
05-11-2024,140.8
04-11-2024,138.93
01-11-2024,144.99
31-10-2024,142.62
30-10-2024,143.4
29-10-2024,144.12
28-10-2024,147.02
25-10-2024,146.31
24-10-2024,153.27
23-10-2024,152.94
22-10-2024,155.31
21-10-2024,160.12
18-10-2024,165.35
17-10-2024,164.28
16-10-2024,168.39
15-10-2024,167.93
14-10-2024,165.47
11-10-2024,163.15
10-10-2024,164.39
09-10-2024,164.74
08-10-2024,164.24
07-10-2024,162.74
04-10-2024,168.65
03-10-2024,171.33
01-10-2024,179.06
30-09-2024,180.15
27-09-2024,180.01
26-09-2024,171.36
25-09-2024,169.82
24-09-2024,169.89
23-09-2024,169.73
20-09-2024,167.05
19-09-2024,165.04
18-09-2024,168.45
17-09-2024,170.51
16-09-2024,171.82
13-09-2024,173.19
12-09-2024,173.26
11-09-2024,169.74
10-09-2024,175.55
09-09-2024,175.34
06-09-2024,176.64
05-09-2024,181.34
04-09-2024,177.03
03-09-2024,176.13
02-09-2024,178.73
