Date ,Close 
02-09-2025,158.39
01-09-2025,156.17
29-08-2025,154.48
28-08-2025,153.63
26-08-2025,155.03
25-08-2025,159.63
22-08-2025,158.55
21-08-2025,161.51
20-08-2025,161.92
19-08-2025,159.23
18-08-2025,157.96
14-08-2025,155.3
13-08-2025,160.18
12-08-2025,160.16
11-08-2025,158.52
08-08-2025,157.95
07-08-2025,159.67
06-08-2025,158.66
05-08-2025,159.62
04-08-2025,159.56
01-08-2025,153.01
31-07-2025,157.94
30-07-2025,161.36
29-07-2025,161.69
28-07-2025,159.68
25-07-2025,161.43
24-07-2025,163.48
23-07-2025,162.77
22-07-2025,163.04
21-07-2025,163.02
18-07-2025,162.37
17-07-2025,159.9
16-07-2025,157.33
15-07-2025,159
14-07-2025,160.44
11-07-2025,159.84
10-07-2025,160.66
09-07-2025,159
08-07-2025,161.97
07-07-2025,162.4
04-07-2025,163.01
03-07-2025,165.91
02-07-2025,165.88
01-07-2025,160.06
30-06-2025,159.76
27-06-2025,161.45
26-06-2025,160.54
25-06-2025,156.39
24-06-2025,154.79
23-06-2025,152.43
20-06-2025,151.97
19-06-2025,151
18-06-2025,152.11
17-06-2025,152.6
16-06-2025,154.17
13-06-2025,152.13
12-06-2025,152.89
11-06-2025,156.41
10-06-2025,155.68
09-06-2025,157.32
06-06-2025,157.49
05-06-2025,157.97
04-06-2025,158.18
03-06-2025,157.35
02-06-2025,159.04
30-05-2025,161.02
29-05-2025,163.12
28-05-2025,161.24
27-05-2025,161.66
26-05-2025,162.51
23-05-2025,162.97
22-05-2025,161.29
21-05-2025,161.64
20-05-2025,158.69
19-05-2025,157.57
16-05-2025,157.55
15-05-2025,157.35
14-05-2025,155.31
13-05-2025,149.43
12-05-2025,151.63
09-05-2025,142.78
08-05-2025,143.67
07-05-2025,146
06-05-2025,144.44
05-05-2025,142.08
02-05-2025,141.18
30-04-2025,140.08
29-04-2025,141.5
28-04-2025,142.07
25-04-2025,138.85
24-04-2025,141.52
23-04-2025,141.16
22-04-2025,138.16
21-04-2025,139.18
17-04-2025,137.14
16-04-2025,136.97
15-04-2025,136.41
11-04-2025,133.42
09-04-2025,127.18
08-04-2025,130.28
07-04-2025,129.48
04-04-2025,140.39
03-04-2025,153.62
02-04-2025,154.69
01-04-2025,153.12
28-03-2025,154.24
27-03-2025,155.42
26-03-2025,155.81
25-03-2025,156.73
24-03-2025,158.42
21-03-2025,157.28
20-03-2025,159.04
19-03-2025,158.6
18-03-2025,154.66
17-03-2025,151.81
13-03-2025,150.88
12-03-2025,150.3
11-03-2025,150.75
10-03-2025,151.05
07-03-2025,151.56
06-03-2025,150.44
05-03-2025,146.1
04-03-2025,139.34
03-03-2025,138.57
28-02-2025,137.2
27-02-2025,138.69
25-02-2025,137.07
24-02-2025,137.65
21-02-2025,140.76
20-02-2025,138.04
19-02-2025,135.76
18-02-2025,134.54
17-02-2025,134.29
14-02-2025,134.47
13-02-2025,136.25
12-02-2025,132.28
11-02-2025,130.11
10-02-2025,134.04
07-02-2025,138.31
06-02-2025,132.54
05-02-2025,134.4
04-02-2025,133.42
03-02-2025,131.82
01-02-2025,132.97
31-01-2025,134.62
30-01-2025,131.12
29-01-2025,130.8
28-01-2025,128.62
27-01-2025,126.37
24-01-2025,129.74
23-01-2025,130.37
22-01-2025,128.92
21-01-2025,129.7
20-01-2025,131.66
17-01-2025,130.28
16-01-2025,127.81
15-01-2025,126.53
14-01-2025,126.93
13-01-2025,122.93
10-01-2025,127.43
09-01-2025,129.93
08-01-2025,132.64
07-01-2025,133.38
06-01-2025,132.18
03-01-2025,138.36
02-01-2025,138.18
01-01-2025,136.74
31-12-2024,138.05
30-12-2024,136.88
27-12-2024,138.91
26-12-2024,140.36
24-12-2024,140.38
23-12-2024,141.71
20-12-2024,140.68
19-12-2024,143.26
18-12-2024,144.46
17-12-2024,145.68
16-12-2024,147.79
13-12-2024,148.95
12-12-2024,150.78
11-12-2024,150.6
10-12-2024,150.32
09-12-2024,149.88
06-12-2024,148.29
05-12-2024,147.07
04-12-2024,145.85
03-12-2024,146.54
02-12-2024,146.41
29-11-2024,144.54
28-11-2024,143.39
27-11-2024,144.53
26-11-2024,144.47
25-11-2024,143.67
22-11-2024,142.78
21-11-2024,140.22
19-11-2024,139.46
18-11-2024,141.21
14-11-2024,137.98
13-11-2024,139.17
12-11-2024,144.17
11-11-2024,145.01
08-11-2024,147.57
07-11-2024,150.95
06-11-2024,153.62
05-11-2024,152.29
04-11-2024,146.95
01-11-2024,149.75
31-10-2024,148.56
30-10-2024,148.97
29-10-2024,150.06
28-10-2024,149.38
25-10-2024,145.86
24-10-2024,148.98
23-10-2024,148.78
22-10-2024,150.39
21-10-2024,155.03
18-10-2024,155.39
17-10-2024,152.4
16-10-2024,155.24
15-10-2024,155.63
14-10-2024,158.32
11-10-2024,160.66
10-10-2024,159.72
09-10-2024,159.06
08-10-2024,159.52
07-10-2024,164.36
04-10-2024,166.75
03-10-2024,166.98
01-10-2024,167.03
30-09-2024,168.55
27-09-2024,166.55
26-09-2024,165.61
25-09-2024,161.66
24-09-2024,160.53
23-09-2024,153.99
20-09-2024,152.02
19-09-2024,149.54
18-09-2024,150.6
17-09-2024,152.82
16-09-2024,154.21
13-09-2024,153.49
12-09-2024,151.74
11-09-2024,148.17
10-09-2024,149.42
09-09-2024,149.47
06-09-2024,151.22
05-09-2024,151.72
04-09-2024,151.18
03-09-2024,152.15
02-09-2024,152.88
